node,demand_LPS,pressure_m,inflow_LPS,shortage_LPS
J1,1.306526780128479,-3506.969482421875,1.306526780128479,0.0
J2,0.11352991312742233,127.94539642333984,0.11352991312742233,0.0
J3,1.9705755710601807,138.14913940429688,1.9705755710601807,0.0
J4,4.695328235626221,-50231.34765625,4.695328235626221,0.0
J5,1.2508903741836548,97.71554565429688,1.2508903741836548,0.0
J6,0.6184139847755432,130.00694274902344,0.6184139847755432,0.0
J7,3.474463939666748,-254.0063018798828,3.474463939666748,0.0
J8,1.5528686046600342,-12318.4169921875,1.5528686046600342,0.0
J9,4.782196044921875,7.83120584487915,4.782196044921875,0.0
J10,0.32883018255233765,97.89297485351562,0.32883018255233765,0.0
J11,0.7529621124267578,128.8199005126953,0.7529621124267578,0.0
J12,1.6262836456298828,-347.6426696777344,1.6262836456298828,0.0
J13,0.8662019968032837,-340.7558288574219,0.8662019968032837,0.0
J14,3.162172555923462,85.25233459472656,3.162172555923462,0.0
J15,1.6870107650756836,74.26386260986328,1.6870107650756836,0.0
J16,1.0965129137039185,-309.5546875,1.0965129137039185,0.0
J17,1.5075181722640991,-18369.453125,1.5075181722640991,0.0
J18,1.1602363586425781,22.8471622467041,1.1602363586425781,0.0
J19,0.985840916633606,-638.2666625976562,0.985840916633606,0.0
J20,0.8439546227455139,-607.84228515625,0.8439546227455139,0.0
J21,1.9453415870666504,112.18313598632812,1.9453415870666504,0.0
J22,0.9232273101806641,-2219.533935546875,0.9232273101806641,0.0
J23,2.2999966144561768,-15197.421875,2.2999966144561768,0.0
J24,2.7804598808288574,-267.8463439941406,2.7804598808288574,0.0
J25,1.4209599494934082,-382.7548522949219,1.4209599494934082,0.0
J26,3.0540833473205566,-985.1646728515625,3.0540833473205566,0.0
J27,3.3395791053771973,-2536.874267578125,3.3395791053771973,0.0
J28,2.119140148162842,145.96176147460938,2.119140148162842,0.0
J29,1.558862566947937,-796.2756958007812,1.558862566947937,0.0
J30,1.6083885431289673,-773.4237060546875,1.6083885431289673,0.0
J31,0.6731220483779907,-242.57847595214844,0.6731220483779907,0.0
J32,1.3049145936965942,101.88277435302734,1.3049145936965942,0.0
J33,0.6913873553276062,118.47882080078125,0.6913873553276062,0.0
J34,0.5556917190551758,-10.02017879486084,0.5556917190551758,0.0
J35,0.9235134720802307,92.1270751953125,0.9235134720802307,0.0
