name,count,mean,std,min,25%,50%,75%,max
J95,1.0,76983.265625,,76983.265625,76983.265625,76983.265625,76983.265625,76983.265625
J96,1.0,76926.328125,,76926.328125,76926.328125,76926.328125,76926.328125,76926.328125
J97,1.0,77014.65625,,77014.65625,77014.65625,77014.65625,77014.65625,77014.65625
J98,1.0,76618.859375,,76618.859375,76618.859375,76618.859375,76618.859375,76618.859375
J99,1.0,76980.46875,,76980.46875,76980.46875,76980.46875,76980.46875,76980.46875
J100,1.0,77007.53125,,77007.53125,77007.53125,77007.53125,77007.53125,77007.53125
J101,1.0,76900.3671875,,76900.3671875,76900.3671875,76900.3671875,76900.3671875,76900.3671875
J102,1.0,69823.9609375,,69823.9609375,69823.9609375,69823.9609375,69823.9609375,69823.9609375
J103,1.0,68333.953125,,68333.953125,68333.953125,68333.953125,68333.953125,68333.953125
J104,1.0,77002.703125,,77002.703125,77002.703125,77002.703125,77002.703125,77002.703125
J105,1.0,77011.828125,,77011.828125,77011.828125,77011.828125,77011.828125,77011.828125
J106,1.0,77027.8125,,77027.8125,77027.8125,77027.8125,77027.8125,77027.8125
J107,1.0,76998.3203125,,76998.3203125,76998.3203125,76998.3203125,76998.3203125,76998.3203125
J108,1.0,76435.4609375,,76435.4609375,76435.4609375,76435.4609375,76435.4609375,76435.4609375
J109,1.0,76992.421875,,76992.421875,76992.421875,76992.421875,76992.421875,76992.421875
J110,1.0,77002.40625,,77002.40625,77002.40625,77002.40625,77002.40625,77002.40625
J111,1.0,77035.1328125,,77035.1328125,77035.1328125,77035.1328125,77035.1328125,77035.1328125
J112,1.0,75395.7265625,,75395.7265625,75395.7265625,75395.7265625,75395.7265625,75395.7265625
J113,1.0,76160.6875,,76160.6875,76160.6875,76160.6875,76160.6875,76160.6875
J114,1.0,70058.0703125,,70058.0703125,70058.0703125,70058.0703125,70058.0703125,70058.0703125
J115,1.0,77002.0078125,,77002.0078125,77002.0078125,77002.0078125,77002.0078125,77002.0078125
J116,1.0,77031.40625,,77031.40625,77031.40625,77031.40625,77031.40625,77031.40625
J117,1.0,53872.02734375,,53872.02734375,53872.02734375,53872.02734375,53872.02734375,53872.02734375
J118,1.0,75248.21875,,75248.21875,75248.21875,75248.21875,75248.21875,75248.21875
J119,1.0,76969.734375,,76969.734375,76969.734375,76969.734375,76969.734375,76969.734375
J120,1.0,76150.8359375,,76150.8359375,76150.8359375,76150.8359375,76150.8359375,76150.8359375
