Ward number,Ward Name,connections,consumption_ML,demand_LPS,demand_m3_s
35,Aramane Nagar,2953,79.791557,923.5133912037037,0.9235133912037037
36,Mathikere,4135,90.985492,1053.072824074074,1.053072824074074
37,Yeshwanthpur,3208,61.783584,715.0877777777778,0.7150877777777778
38,H.M.T,3654,137.555591,1592.078599537037,1.592078599537037
39,Chokkasandra,5811,140.930617,1631.141400462963,1.631141400462963
40,Doddabidirakalu,1,-2e-06,-2.3148148148148147e-05,-2.3148148148148148e-08
41,Peenya Industrial Area,7549,195.207224,2259.3428703703703,2.25934287037037
42,Lakshmidevinagar,5141,105.117626,1216.639189814815,1.216639189814815
43,Nandini Layout,6437,154.325416,1786.1737962962964,1.7861737962962965
44,Marappanahalli,4439,124.247324,1438.0477314814814,1.4380477314814815
45,Malleshwaram,3652,105.58145,1222.007523148148,1.222007523148148
46,Jayachamarajendra Nagar,5320,181.330459,2098.7321643518517,2.0987321643518517
47,Devarajeevanahalli,3766,80.001968,925.9487037037037,0.9259487037037037
48,Muneshwaranagar,2197,37.13181,429.76631944444443,0.42976631944444443
49,Lingarajapura,5721,95.288697,1102.8784375,1.1028784375
50,Benniganahalli,5855,367.850544,4257.529444444444,4.257529444444445
51,Vijinapura,6196,129.934883,1503.8759606481483,1.5038759606481482
52,K.R.Puram,8831,168.301882,1947.938449074074,1.947938449074074
53,Basavanapura,8086,188.70491,2184.0846064814814,2.1840846064814814
54,Hoodi,5137,315.296895,3649.2696180555554,3.6492696180555555
55,Devasandra,3223,81.481933,943.0779282407408,0.9430779282407408
56,A. Narayanapura,8396,228.107695,2640.1353587962963,2.640135358796296
57,C.V. Ramannagar,3244,81.322603,941.2338310185186,0.9412338310185185
58,Hosathippasandra,6020,151.458424,1752.9910185185186,1.7529910185185185
59,Maruthiseva Nagar,5577,161.298277,1866.8782060185185,1.8668782060185185
60,Sagayapuram,4406,98.364688,1138.4801851851853,1.1384801851851853
61,S.K. Garden,2880,79.395742,918.9321990740741,0.9189321990740741
62,Ramaswamy palya,3129,78.750696,911.4663888888889,0.9114663888888889
63,Jayamahal,3072,119.963553,1388.467048611111,1.388467048611111
64,Rajamahal,3692,92.203438,1067.1694212962964,1.0671694212962963
65,Kadumalleshwara,5601,157.508054,1823.0098842592593,1.8230098842592593
66,Subramanyanagar,4280,121.23062,1403.1321759259258,1.4031321759259259
67,Nagapura,5780,176.13729,2038.6260416666667,2.038626041666667
68,Mahalakshmipuram,5090,119.764729,1386.1658449074075,1.3861658449074075
69,Laggere,10212,248.021244,2870.61625,2.87061625
70,Rajagopalanagar,8244,201.164368,2328.2912962962964,2.3282912962962965
71,Hegganahalli,8643,241.877364,2799.5065277777776,2.7995065277777775
72,herohalli,10672,206.230903,2386.931747685185,2.386931747685185
73,Kottigepalya,8452,204.271573,2364.2543171296297,2.3642543171296295
74,Shakthiganapathi nagar,6108,161.789599,1872.5648032407407,1.8725648032407407
75,Shankaramata,5206,148.415701,1717.7743171296297,1.7177743171296298
76,Gayathrinagar,4371,118.492529,1371.4413078703703,1.3714413078703704
77,Dattathreya Temple,4480,115.808363,1340.3745717592592,1.3403745717592592
78,Pulikeshinagar,3576,118.685301,1373.6724652777777,1.3736724652777776
79,Sarvagnanagar,3434,79.998555,925.9092013888888,0.9259092013888889
80,Hoysalanagar,5465,154.061095,1783.114525462963,1.783114525462963
81,Vignananagar,7018,199.512806,2309.1759953703704,2.3091759953703703
82,Garudacharpalya,4339,188.172849,2177.9264930555555,2.1779264930555553
83,Kadugodi,937,46.608975,539.4557291666666,0.5394557291666666
84,Hagadooru,1998,123.214916,1426.0985648148148,1.4260985648148148
85,Doddanekkundi,6600,439.342802,5084.986134259259,5.0849861342592595
86,Marathalli,4592,158.856624,1838.6183333333333,1.8386183333333332
87,HAL Airport,4369,93.435892,1081.4339351851852,1.0814339351851852
88,Jeevanbhimanagar,6008,152.305768,1762.7982407407408,1.7627982407407408
89,Jogupalya,4071,128.261486,1484.5079398148146,1.4845079398148147
90,Ulsoor,5605,327.026064,3785.023888888889,3.785023888888889
91,Bharathinagar,2232,96.06074,1111.8141203703703,1.1118141203703704
92,Shivajinagar,5135,208.052563,2408.015775462963,2.408015775462963
93,Vasanthnagar,3732,253.786112,2937.339259259259,2.937339259259259
94,Gandhinagar,4770,384.449458,4449.64650462963,4.44964650462963
95,Subhashnagar,3091,59.783722,691.9412268518519,0.6919412268518519
96,Okalipuram,3419,131.033607,1516.592673611111,1.516592673611111
97,Dayanandanagar,3496,84.843577,981.9858449074075,0.9819858449074075
98,Prakashnagar,3074,82.649624,956.5928703703704,0.9565928703703704
99,Rajajinagar,3920,115.832573,1340.6547800925925,1.3406547800925925
100,Basaveshwaranagar,5763,172.070536,1991.5571296296296,1.9915571296296295
101,Kamakshipalya,3682,95.97975,1110.876736111111,1.1108767361111112
102,Vrushabhavathi Nagar,4171,99.551777,1152.2196412037038,1.1522196412037038
103,Kaveripura,5037,108.619788,1257.1734722222222,1.2571734722222223
104,Govindrajnagara,2877,67.934803,786.2824421296297,0.7862824421296296
105,Agrahara Dasarahalli,3209,93.150714,1078.133263888889,1.078133263888889
106,Dr. Rajkumar Ward,2469,85.758641,992.5768634259259,0.9925768634259259
107,Shivanagar,2454,88.380684,1022.9245833333333,1.0229245833333334
108,Srirammandira ward,4675,118.221152,1368.3003703703703,1.3683003703703702
109,Chikpet,5597,113.139306,1309.4827083333332,1.3094827083333331
110,Sampangiramnagar,3008,132.975356,1539.0666203703704,1.5390666203703705
111,Shanthala Nagar,3775,234.345048,2712.3269444444445,2.7123269444444444
112,Dommalur,4756,198.061445,2292.377835648148,2.292377835648148
113,Konena Agrahara,3932,131.062724,1516.929675925926,1.5169296759259259
114,Agaram,2928,157.703739,1825.2747569444443,1.8252747569444443
115,Vannarpet,5170,108.512011,1255.9260532407407,1.2559260532407406
116,Neelasandra,2639,63.21267,731.628125,0.731628125
117,Shanthinagar,6210,246.346237,2851.2295949074073,2.8512295949074073
