Ward number,Ward Name,Node,demand_LPS,Supplied_LPS,Demand_m3_day,Supplied_m3_day,Shortage_m3_day,Shortage_pct,Pressure_m,Head_m,Leakage_m3_day,CostImpact_Rs_day
85,Doddanekkundi,J85,5084.986134259259,25.681748152824294,439342.802,2218.903040404019,437123.898959596,99.49494949494951,94.65909,184.65909,3162.768861305528,874247.797919192
86,Marathalli,J86,1838.618333333333,9.285951178451088,158856.62399999998,802.306181818174,158054.31781818182,99.49494949494951,127.86558,218.86559,1934.8477866902876,316108.63563636364
87,HAL Airport,J87,1081.4339351851852,5.461787551440276,93435.892,471.89844444443986,92963.99355555557,99.49494949494951,116.772316,208.77232,982.5575819548809,185927.98711111114
88,Jeevanbhimanagar,J88,1762.7982407407408,8.903021417882442,152305.768,769.2210505050431,151536.54694949498,99.49494949494951,136.55017,229.55017,2053.4664008570844,303073.09389898996
89,Jogupalya,J89,1484.5079398148146,7.497514847549496,128261.48599999999,647.7852828282765,127613.70071717171,99.49494949494951,85.7342,179.7342,751.62898195318,255227.40143434342
90,Ulsoor,J90,3785.023888888889,19.116282267115416,327026.064,1651.646787878772,325374.41721212125,99.49494949494951,91.278656,186.27866,2188.3924918334974,650748.8344242425
91,Bharathinagar,J91,1111.8141203703703,5.615222830153331,96060.74,485.1552525252478,95575.58474747476,99.49494949494951,123.47738,219.47737,1106.77409440918,191151.1694949495
92,Shivajinagar,J92,2408.015775462963,12.161695835671413,208052.56300000002,1050.7705202020102,207001.79247979802,99.49494949494951,111.13331,208.1333,2011.8675560260297,414003.58495959605
93,Vasanthnagar,J93,2937.339259259259,14.835046763935507,253786.112,1281.748040404028,252504.36395959597,99.49494949494951,131.3155,229.3155,3222.4047445503993,505008.72791919194
94,Gandhinagar,J94,4449.64650462963,22.472962144593872,384449.45800000004,1941.6639292929106,382507.7940707071,99.49494949494951,74.13464,173.13464,1922.2472900000002,765015.5881414142
95,Subhashnagar,J95,691.9412268518519,3.4946526608679047,59783.722,301.937989898987,59481.784010101015,99.49494949494951,89.50849,189.50848,384.186548419967,118963.56802020203
96,Okalipuram,J96,1516.592673611111,7.659558957631799,131033.60699999999,661.7858939393875,130371.8211060606,99.49494949494951,117.84389,218.84389,1398.9912464416843,260743.6422121212
97,Dayanandanagar,J97,981.9858449074076,4.959524469229283,84843.57700000002,428.5029141414101,84415.0740858586,99.49494949494951,107.00253,209.00253,767.8665699874716,168830.1481717172
98,Prakashnagar,J98,956.5928703703704,4.831277123082632,82649.62400000001,417.42234343433944,82232.20165656567,99.49494949494951,125.02843,228.02843,971.4855413215481,164464.40331313133
99,Rajajinagar,J99,1340.6547800925923,6.77098373784131,115832.57299999999,585.0129949494892,115247.5600050505,99.49494949494951,74.69043,178.69043,579.1628649999999,230495.120010101
100,Basaveshwaranagar,J100,1991.5571296296296,10.058369341563688,172070.536,869.0431111111027,171201.4928888889,99.49494949494951,108.59662,188.59662,1598.448039678248,342402.9857777778
101,Kamakshipalya,J101,1110.876736111111,5.610488566217678,95979.75,484.7462121212074,95495.0037878788,99.49494949494951,136.94331,217.94331,1299.709448695875,190990.0075757576
102,Vrushabhavathi Nagar,J102,1152.2196412037038,5.8192911171903665,99551.77700000002,502.7867525252477,99048.99024747477,99.49494949494951,126.831406,208.8314,1197.0813380062693,198097.98049494953
103,Kaveripura,J103,1257.1734722222222,6.349360970819243,108619.78800000002,548.5847878787825,108071.20321212124,99.49494949494951,145.58688,228.58688,1611.7038901772162,216142.40642424248
104,Govindrajnagara,J104,786.2824421296297,3.971123445099101,67934.803,343.1050656565624,67591.69793434344,99.49494949494951,93.69526,177.69525,479.231733520067,135183.39586868687
105,Agrahara Dasarahalli,J105,1078.133263888889,5.445117494388275,93150.714,470.458151515147,92680.25584848486,99.49494949494951,102.57344,187.57344,781.163378015424,185360.5116969697
106,Dr. Rajkumar Ward,J106,992.576863425926,5.013014461747052,85758.64100000002,433.12444949494534,85325.51655050507,99.49494949494951,132.0797,218.0797,1098.7358493531551,170651.03310101014
107,Shivanagar,J107,1022.9245833333332,5.166285774410723,88380.684,446.3670909090865,87934.3169090909,99.49494949494951,121.895195,208.89519,997.3123185620068,175868.6338181818
108,Srirammandira ward,J108,1368.3003703703705,6.910607931163421,118221.15200000002,597.0765252525196,117624.0754747475,99.49494949494951,141.01782,229.01782,1673.1453059392966,235248.150949495
109,Chikpet,J109,1309.4827083333332,6.613549031986468,113139.306,571.4106363636308,112567.89536363637,99.49494949494951,88.43676,177.43677,708.875905693284,225135.79072727275
110,Sampangiramnagar,J110,1539.0666203703704,7.773063739244219,132975.356,671.5927070707006,132303.7632929293,99.49494949494951,99.273,189.27301,1049.3018854282,264607.5265858586
111,Shanthala Nagar,J111,2712.3269444444445,13.698620931537466,234345.048,1183.5608484848372,233161.48715151518,99.49494949494951,127.4846,218.4846,2840.89236993912,466322.97430303035
112,Dommalur,J112,2292.377835648148,11.577665836606696,198061.445,1000.3103282828187,197061.13467171718,99.49494949494951,117.358086,209.3581,2100.1866993391404,394122.26934343437
113,Konena Agrahara,J113,1516.929675925926,7.661260989524804,131062.72400000002,661.932949494943,130400.79105050507,99.49494949494951,135.5864,228.5864,1748.10937020304,260801.58210101014
114,Agaram,J114,1825.2747569444443,9.218559378507205,157703.739,796.4835303030226,156907.25546969697,99.49494949494951,85.62098,179.62099,921.4861294266332,313814.51093939395
115,Vannarpet,J115,1255.9260532407409,6.343060874953175,108512.01100000001,548.0404595959544,107963.97054040406,99.49494949494951,93.093285,188.09328,755.6768578919202,215927.94108080812
116,Neelasandra,J116,731.628125,3.6950915404040043,63212.67,319.255909090906,62893.41409090909,99.49494949494951,122.24796,218.24796,716.6543030479801,125786.82818181819
117,Shanthinagar,J117,2851.2295949074078,14.400149469229193,246346.23700000005,1244.1729141414023,245102.06408585864,99.49494949494951,111.73496,208.73495,2404.3993816018283,490204.1281717173
118,Sudamnagar,J118,1191.504050925926,6.017697226898559,102945.95000000003,519.9290404040355,102426.02095959599,99.49494949494951,129.90799,227.90799,1285.4035664710752,204852.04191919198
119,Dharmarayaswamy Temple Ward,J119,1155.5782523148148,5.8362537995697155,99841.96100000001,504.25232828282344,99337.70867171719,99.49494949494951,78.37574,177.37575,499.209805,198675.41734343438
120,Cottonpet,J120,736.7414004629629,3.720916163954322,63654.457,321.48715656565344,63332.96984343435,99.49494949494951,87.5965,187.5965,390.80494739007503,126665.9396868687
121,Binnypet,J121,1217.716585648148,6.150083765899678,105210.713,531.3672373737322,104679.34576262627,99.49494949494951,117.55546,218.55547,1118.739073546447,209358.69152525254
122,Kempapura Agrahara,J122,1018.9685069444444,5.146305590628457,88038.879,444.64080303029874,87594.2381969697,99.49494949494951,107.480736,209.48074,803.1003737302414,175188.4763939394
123,Vijaynagar,J123,1082.9261226851852,5.469323851945327,93564.81700000001,472.54958080807626,93092.26741919194,99.49494949494951,124.54237,227.54237,1092.9638896694437,186184.53483838387
124,Hosahalli,J124,1360.3567939814816,6.870488858492265,117534.82700000002,593.6102373737317,116941.21676262628,99.49494949494951,75.256516,179.25652,587.6741350000001,233882.43352525256
125,Marenahalli,J125,1089.7547453703703,5.503811845304847,94154.81,475.52934343433884,93679.28065656566,99.49494949494951,108.28575,188.28575,870.2599625436249,187358.56131313133
126,Maruthi Mandira Ward,J126,1176.803460648148,5.943451821455236,101675.819,513.5142373737324,101162.30476262627,99.49494949494951,136.57785,217.57785,1371.2689804013728,202324.60952525254
127,Moodalapalya,J127,1555.1355787037037,7.854220094463074,134363.714,678.6046161616096,133685.1093838384,99.49494949494951,127.238335,209.23834,1623.8862900664285,267370.2187676768
128,Nagarabhavi,J128,3018.753958333333,15.246232112794463,260820.34199999998,1317.2744545454416,259503.06754545454,99.49494949494951,146.01277,229.01277,3886.7226971651,519006.1350909091
129,Jnanabharathi ward,J129,3865.018055555556,19.520293209876357,333937.56000000006,1686.5533333333174,332251.0066666667,99.49494949494951,93.856514,177.8565,2363.7693712898767,664502.0133333334
