Node,Pressure(m),Delivered_m3_s,Delivered_LPS
J158,130.55887,0.89244086,892.44086
J159,88.99505,3.3579087,3357.9087
J160,-6013.2617,5.263443,5263.443
J161,-1124.292,1.9558417,1955.8417
J162,6.8261633,2.22333,2223.33
J163,131.11285,1.6955523,1695.5524
J164,-11913.507,1.2501926,1250.1926
J165,-0.31860715,1.2896019,1289.6019
J166,-2764.2668,1.402056,1402.056
J167,-1548.5441,1.2519741,1251.9741
J168,127.01447,1.7543207,1754.3208
J169,-358.06418,1.3566272,1356.6272
J170,84.24038,1.2140592,1214.0592
J171,-391.06924,2.146328,2146.328
J172,-85.490616,2.0044513,2004.4513
J173,-137.7208,1.4586778,1458.6777
J174,-9453.754,6.622303,6622.303
J175,106.042465,3.4443839,3444.3838
J176,-86.95074,2.9908502,2990.85
J177,-417.68832,2.0446713,2044.6713
J178,145.44919,2.050388,2050.3882
J179,90.0496,1.3101687,1310.1687
J180,-88.042336,1.3917556,1391.7556
J181,117.789215,3.1165814,3116.5815
J182,-87.53874,2.1329138,2132.9138
J183,-19214.512,1.5323242,1532.3242
J184,-12063.329,3.790195,3790.195
J185,-117.09903,2.298944,2298.944
J186,128.53302,0.9704264,970.4264
J187,42.281403,1.7956227,1795.6227
J188,-2824.1914,2.9409356,2940.9355
J189,54.69416,4.0842695,4084.2695
J190,-1368.2823,1.059038,1059.0381
J191,114.57656,2.011307,2011.307
J192,37.46809,3.6666312,3666.631
J193,123.67268,4.2012095,4201.2095
J194,-3.229269,1.1498027,1149.8027
J195,-404.75787,3.4580855,3458.0854
J196,-14151.51,3.2996974,3299.6975
J197,-259.5864,1.7710642,1771.0642
J198,108.389404,1.1110405,1111.0405
Reservoir1,4.0039063e-06,-68.4697,-68469.7
Reservoir2,4.3945312e-07,-66.40025,-66400.25
Reservoir3,7.5683593e-06,-64.893715,-64893.715
Borewell1,8.34961e-06,-84.02594,-84025.94
Borewell2,-6.689453e-06,-72.169624,-72169.625
